0,250,0,250
1,242,1,258
2,240,2,269
3,228,3,275
4,221,4,293
5,209,5,303
6,195,6,313
7,187,7,314
8,180,8,321
9,176,9,326
10,169,10,332
11,153,11,340
12,150,12,333
13,147,13,346
14,138,14,347
15,132,15,348
16,121,16,344
17,115,17,336
18,108,18,334
19,104,19,330
20,97,20,337
21,91,21,332
22,81,22,331
23,78,23,320
24,81,24,310
25,74,25,305
26,72,26,302
27,67,27,297
28,65,28,299
29,57,29,289
30,49,30,267
31,45,31,261
32,42,32,253
33,38,33,231
34,34,34,221
35,36,35,219
36,36,36,215
37,34,37,211
38,33,38,197
39,33,39,189
40,33,40,192
41,33,41,172
42,35,42,159
43,35,43,150
44,37,44,142
45,35,45,134
46,35,46,135
47,33,47,128
48,33,48,125
49,31,49,106
50,33,50,102
51,35,51,93
52,34,52,94
53,35,53,90
54,35,54,83
55,35,55,78
56,36,56,71
57,35,57,69
58,36,58,65
59,35,59,61
60,36,60,55
61,35,61,48
62,39,62,40
63,41,63,39
64,40,64,36
65,40,65,35
66,41,66,29
67,41,67,30
68,44,68,29
69,46,69,33
70,48,70,31
71,49,71,29
72,50,72,27
73,50,73,27
74,52,74,28
75,53,75,27
76,56,76,23
77,58,77,23
78,62,78,22
79,62,79,25
80,65,80,22
81,63,81,20
82,70,82,19
83,70,83,18
84,71,84,18
85,71,85,18
86,73,86,18
87,75,87,14
88,78,88,12
89,79,89,12
90,82,90,11
91,83,91,10
92,88,92,11
93,91,93,10
94,96,94,10
95,98,95,11
96,105,96,10
97,107,97,12
98,113,98,12
99,119,99,12
100,123,100,14
101,125,101,13
102,133,102,13
103,139,103,14
104,142,104,14
105,145,105,15
106,156,106,13
107,162,107,14
108,167,108,13
109,172,109,11
110,183,110,10
111,189,111,8
112,195,112,8
113,201,113,6
114,206,114,6
115,213,115,6
116,221,116,6
117,229,117,6
118,240,118,6
119,250,119,7
120,256,120,8
121,273,121,6
122,282,122,6
123,290,123,6
124,302,124,6
125,312,125,6
126,326,126,6
127,339,127,6
128,353,128,6
129,369,129,6
130,378,130,5
131,391,131,5
132,411,132,6
133,431,133,6
